id,category,type,tp,fp,fn,precision,recall,f1,exact_match,n_ground_truth,n_pred,prompt,timestamp,latency_s,prompt_tokens,completion_tokens,total_tokens,source,error_notes
1,K-1,schedule_rows,2,0,0,1.0,1.0,1.0,1,2,2,Tampilkan jadwal Pak Sopian,2025-05-23T17:38:05.236974,9.124,2933,368,3301,txt_source,
2,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Di ruang mana seminar Wildan dilaksanakan,2025-05-23T17:38:15.755030,4.672,2934,205,3139,txt_source,
3,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Pukul berapa seminar Faishal dimulai,2025-05-23T17:38:27.362094,4.339,2935,194,3129,txt_source,
4,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi Guntur Maulana Ibrahim,2025-05-23T17:38:38.005817,4.484,2935,202,3137,txt_source,
5,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapa NIM dari mahasiswa Ferdi Bayu Febryan,2025-05-23T17:38:56.412681,3.509,2938,192,3130,txt_source,
6,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Tanggal berapa seminar Tri Novarel Rahmadhani,2025-05-23T17:39:08.598960,5.467,2937,193,3130,txt_source,
7,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa seminar Muhammad Iman Komarudiansyah berakhir,2025-05-23T17:39:18.956545,4.962,2938,200,3138,txt_source,
8,K-1,schedule_rows,3,0,0,1.0,1.0,1.0,1,3,3,Tampilkan jadwal Bu Rani,2025-05-23T17:39:36.889343,8.746,2932,555,3487,txt_source,
9,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa seminar Ekayan Arsyad dimulai,2025-05-23T17:39:47.831067,3.592,2937,214,3151,txt_source,
10,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Hari apa seminar akan dilaksanakan Ivan Aprilman Hura,2025-05-23T17:39:58.807688,5.829,2937,207,3144,txt_source,
11,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Jam berapa pelaksanaan seminar dari Muhammad Cahaya Adiransyah Tasman dimulai,2025-05-23T17:40:10.479782,5.482,2941,197,3138,txt_source,
12,K-1,lecturer_list,2,0,0,1.0,1.0,1.0,1,2,2,Siapa Dosen yang ada diseminar Weldira Tarigan,2025-05-23T17:40:20.664065,3.421,2719,60,2779,txt_source,
13,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Apa judul skripsi Elbaruna,2025-05-23T17:40:31.304414,4.309,2934,209,3143,txt_source,
14,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Sebutkan ruangan tempat seminarnya Riswan,2025-05-23T17:40:43.095609,5.774,2936,208,3144,txt_source,
15,K-1,schedule_rows,1,0,0,1.0,1.0,1.0,1,1,1,Berapakan NIM dari Zulhaqi,2025-05-23T17:40:56.158950,6.689,2935,197,3132,txt_source,
